Year,Age,p,q,N.ya,age_comp
1970,4,0.050268502,NA,NA,NA
1971,4,0.051472371,NA,NA,NA
1972,4,0.051618462,NA,NA,NA
1973,4,0.023115534,NA,NA,NA
1974,4,0.044147828,NA,NA,NA
1975,4,0.031310496,NA,NA,NA
1976,4,0.022082188,0.049506826,7647.122178,0.05
1977,4,0.012288091,0.033616042,3918.10606,0.03
1978,4,0.033200034,0.058328718,10549.57755,0.06
1979,4,0.046811769,0.02507361,5577.918912,0.02
1980,4,0.031306806,0.02633396,4514.96696,0.02
1981,4,0.036496219,0.018363549,3035.293842,0.01
1982,4,0.032179514,0.034026507,8204.950858,0.03
1983,4,0.030894815,0.052115502,15529.61807,0.05
1984,4,0.009192156,0.024327162,6614.618056,0.02
1985,4,0.030883162,0.022022392,4769.288648,0.02
1986,4,0.021000191,0.024460465,4773.752527,0.02
1987,4,0.010854356,0.034408705,4780.407153,0.03
1988,4,0.017645514,0.028626917,3443.966724,0.02
1989,4,0.05273376,0.015777976,5393.198818,0.01
1990,4,0.033845507,0.016655039,3898.140227,0.01
1991,4,0.027513339,0.028062148,3772.658879,0.02
1992,4,0.057905672,0.018231184,4445.948494,0.01
1993,4,0.040120536,0.031667832,12192.55807,0.03
1994,4,0.03760499,0.023666222,5559.709385,0.02
1995,4,0.054836552,0.041940294,7121.316511,0.04
1996,4,0.022075632,0.049791256,12860.45115,NA
1997,4,0.029143992,0.060976149,13804.43245,NA
1998,4,0.048980518,0.041272477,10276.86178,NA
1999,4,0.031835407,0.009901543,3014.09181,0.01
2000,4,0.084680652,0.025679767,3777.836309,0.02
2001,4,0.03663626,0.034342903,4372.804192,0.03
2002,4,0.078982394,0.029096592,4041.475781,0.03
2003,4,0.018692945,0.034561522,4300.47502,0.02
2004,4,0.023025837,0.039784935,5088.360651,0.05
2005,4,0.063461228,0.030823123,2382.977649,0.03
2006,4,0.03739621,0.05471306,3770.909354,0.06
2007,4,0.030333116,0.056452372,3023.449847,0.05
2008,4,0.060264357,0.0528063,5249.896157,0.05
2009,4,0.058419031,0.017221716,4094.479384,0.02
2010,4,0.063405942,0.030392419,3249.853535,0.03
2011,4,0.042760245,0.082692051,6702.73332,0.08
2012,4,0.033761145,0.05747459,9717.642663,0.06
2013,4,NA,0.057800943,11680.39232,0.06
2014,4,NA,0.033913121,5467.764732,0.04
2015,4,NA,0.038879352,4973.162758,0.04
2016,4,NA,0.044376029,4794.574811,0.04
1970,5,0.597456962,NA,NA,NA
1971,5,0.725986418,NA,NA,NA
1972,5,0.554438917,NA,NA,NA
1973,5,0.661253523,NA,NA,NA
1974,5,0.684134496,NA,NA,NA
1975,5,0.573181509,NA,NA,NA
1976,5,0.451915281,0.647325493,100045.8576,0.67
1977,5,0.504851952,0.702930148,81878.01154,0.75
1978,5,0.660497165,0.618999924,111958.9277,0.64
1979,5,0.574736958,0.733773114,163260.3783,0.78
1980,5,0.411547288,0.594532362,101907.1531,0.62
1981,5,0.562479895,0.55691204,92042.59396,0.55
1982,5,0.555657276,0.518718055,124984.8657,0.5
1983,5,0.363361618,0.547117091,163297.7561,0.55
1984,5,0.645766129,0.697657016,190128.1121,0.73
1985,5,0.582035734,0.400338825,86652.5876,0.38
1986,5,0.346155072,0.375580219,73375.56058,0.36
1987,5,0.351631163,0.590525253,82070.86052,0.6
1988,5,0.59881423,0.465767918,56079.10667,0.44
1989,5,0.579791153,0.708239176,242354.8328,0.7
1990,5,0.482910272,0.430661519,100822.6529,0.44
1991,5,0.603561242,0.475254157,63893.86272,0.46
1992,5,0.541737011,0.501231115,122280.0254,0.44
1993,5,0.461682036,0.392160085,151229.3206,0.38
1994,5,0.51483466,0.566059833,133026.3076,0.57
1995,5,0.466504985,0.462485302,78577.46001,0.46
1996,5,0.570341665,0.626957417,163051.3843,NA
1997,5,0.434657082,0.495835451,112675.7909,NA
1998,5,0.485336629,0.622602115,155295.0191,NA
1999,5,0.628693586,0.448076799,136515.2413,0.43
2000,5,0.492398475,0.171667817,25246.35034,0.13
2001,5,0.615816901,0.762736678,97230.27373,0.78
2002,5,0.590750596,0.469482012,65174.93093,0.45
2003,5,0.484671863,0.320866456,39937.19051,0.29
2004,5,0.670706353,0.660803074,84615.21357,0.67
2005,5,0.535216895,0.379419574,29364.09523,0.37
2006,5,0.565432273,0.579309744,39996.42106,0.59
2007,5,0.564924775,0.523772423,28050.80838,0.53
2008,5,0.625805922,0.788219384,78348.85373,0.82
2009,5,0.52912456,0.64323887,153020.6726,0.64
2010,5,0.473277385,0.318168594,34063.06075,0.32
2011,5,0.548183394,0.60311346,48881.28428,0.61
2012,5,0.549300597,0.737661208,124830.7481,0.75
2013,5,NA,0.498683375,100793.1085,0.5
2014,5,NA,0.652777809,105304.7727,0.67
2015,5,NA,0.318706498,40700.0539,0.3
2016,5,NA,0.58775403,63535.46278,0.58
1970,6,0.352274537,NA,NA,NA
1971,6,0.222541212,NA,NA,NA
1972,6,0.393942621,NA,NA,NA
1973,6,0.315630943,NA,NA,NA
1974,6,0.271717677,NA,NA,NA
1975,6,0.395507995,NA,NA,NA
1976,6,0.526002531,0.303167681,46861.34483,0.27
1977,6,0.482859957,0.26345381,30685.11539,0.22
1978,6,0.306302801,0.322671358,58344.41164,0.3
1979,6,0.378451273,0.241153276,53626.55542,0.2
1980,6,0.557145906,0.379133678,65000.22291,0.36
1981,6,0.401023886,0.42472441,70200.195,0.44
1982,6,0.41216321,0.447255438,107801.0364,0.47
1983,6,0.605743567,0.400767406,119591.5387,0.4
1984,6,0.345041715,0.278015823,75782.55547,0.25
1985,6,0.387081104,0.577638783,125045.5485,0.6
1986,6,0.632844736,0.599959316,117233.4511,0.62
1987,6,0.637514481,0.375066043,52128.18652,0.37
1988,6,0.383540256,0.505605165,60842.62898,0.54
1989,6,0.367475087,0.275982849,94368.54326,0.3
1990,6,0.483244221,0.552683442,129381.1437,0.55
1991,6,0.368925419,0.496683695,66756.70533,0.52
1992,6,0.400357317,0.480537701,117243.8666,0.55
1993,6,0.498197428,0.576172083,222185.7534,0.59
1994,6,0.44756035,0.410273945,96426.04631,0.41
1995,6,0.478658463,0.495574404,84174.90594,0.5
1996,6,0.407582703,0.323251327,83706.776,NA
1997,6,0.536198926,0.4431884,100541.0078,NA
1998,6,0.465682853,0.336125408,83836.40124,NA
1999,6,0.339471007,0.542021658,165222.6024,0.55
2000,6,0.422920873,0.802652416,118119.4986,0.85
2001,6,0.347546839,0.202920419,25847.32257,0.2
2002,6,0.330267011,0.501421396,69600.71327,0.52
2003,6,0.496635193,0.644572022,80244.21014,0.68
2004,6,0.306267809,0.299411991,38334.83593,0.29
2005,6,0.401321877,0.589757303,45662.0002,0.59
2006,6,0.397171517,0.365977196,25269.35122,0.35
2007,6,0.40474211,0.419775205,22479.91938,0.41
2008,6,0.313929721,0.158974315,15791.70561,0.13
2009,6,0.412456409,0.339539413,80791.02043,0.34
2010,6,0.463316673,0.651438987,69714.85956,0.66
2011,6,0.409056361,0.314194488,25465.5049,0.3
2012,6,0.416938258,0.204864203,34656.8871,0.19
2013,6,NA,0.443515681,89623.15819,0.44
2014,6,NA,0.31330907,50532.71535,0.29
2015,6,NA,0.642414151,82106.99193,0.66
2016,6,NA,0.367869941,39753.64082,0.37
