Year,SMSY,UMSY,SMAX,SEQ,S_mean,S_sd,S_MC_error,S_val2.5pc,S_median,S_val97.5pc,R_mean,R_sd,R_MC_error,R_val2.5pc,R_median,R_val97.5pc,N_mean,N_sd,N_MC_error,N_val2.5pc,N_median,N_val97.5pc,qS_mr_mean,qS_mr_sd,qS_mr_MC_error,qS_mr_val2.5pc,qS_mr_median,qS_mr_val97.5pc,qS_weir_mean,qS_weir_sd,qS_weir_MC_error,qS_weir_val2.5pc,qS_weir_median,qS_weir_val97.5pc,log.resid_mean,log.resid_sd,log.resid_MC_error,log.resid_val2.5pc,log.resid_median,log.resid_val97.5pc,mu.HB_mean,mu.HB_sd,mu.HB_MC_error,mu.HB_val2.5pc,mu.HB_median,mu.HB_val97.5pc,DIDSON,mr,weir,lnalpha,beta,lnalpha.c
1970,102521.43,0.52,199352.75,250580.96,,,,,,,137412.5098,31034.79382,566.3903648,83142.21034,135445.6451,204987.0374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,5.02E-06,1.28
1971,102521.43,0.52,199352.75,250580.96,,,,,,,138363.1846,13235.29912,241.6983319,114539.8588,137580.8559,166067.1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,102521.43,0.52,199352.75,250580.96,,,,,,,148181.8406,13021.96427,246.1022205,124276.3969,147575.2373,174414.7375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,102521.43,0.52,199352.75,250580.96,,,,,,,169841.7817,14872.83571,271.4947233,141514.935,169369.6345,199554.1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,102521.43,0.52,199352.75,250580.96,,,,,,,239275.2769,19514.30748,361.9988146,202864.3903,238477.5486,280732.2487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,102521.43,0.52,199352.75,250580.96,,,,,,,177777.0951,16497.82495,300.8807623,146461.1923,177476.3092,210924.8183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,102521.43,0.52,199352.75,250580.96,95570.91793,7831.733141,142.9796333,81543.41721,95262.64536,112045.4624,205172.2764,19739.14162,348.3398776,169291.7664,204006.967,244550.2586,154737.6832,9759.501864,188.9894463,136643.1874,154254.6115,174716.0151,151156.6173,10511.11131,191.9190556,131782.4707,150945.3938,172846.3338,69742.70607,3556.862511,64.96633335,63009.70531,69638.22717,77058.02686,0.200403831,0.256117823,0.004677537,-0.3190,0.1969,0.7409,0.382436964,0.030653104,0.000559821,0.324411497,0.382526444,0.445579768,NA,NA,69729,,,
1977,102521.43,0.52,199352.75,250580.96,73504.41125,8517.997659,158.84773,57888.7029,73000.86621,91085.26532,247026.3773,25501.51305,465.6961039,201384.8355,245547.1156,300226.6799,116657.9978,9437.030896,186.4743415,99236.51895,116242.845,136644.0902,116265.2753,12615.26949,235.4266018,93699.57986,115493.8174,142334.2749,53645.97668,5246.831888,95.79240147,44104.60311,53392.85516,64683.98422,0.539374902,0.265349277,0.004635746,0.0260,0.5354,1.0752,0.371031527,0.03620015,0.000677793,0.303272939,0.370067373,0.445629447,NA,NA,50363,,,
1978,102521.43,0.52,199352.75,250580.96,92354.95912,7454.251566,136.0980753,78486.10096,91745.666,107805.2005,248582.9358,24754.80552,460.7986914,202354.0873,248338.4107,299094.7957,181399.7449,11351.47794,197.5399597,159241.0661,181036.585,203982.0796,146082.5404,10137.35686,185.0725117,126941.429,145677.6469,167084.1179,67399.80118,3382.88523,63.14022226,60845.33549,67325.95731,74158.18868,0.409852778,0.258730531,0.004725315,-0.0918,0.4066,0.9403,0.49057312,0.031150381,0.00056843,0.429294541,0.491160624,0.550072508,NA,NA,67528,,,
1979,102521.43,0.52,199352.75,250580.96,109945.8705,8808.76882,166.0378732,93425.0517,109659.6909,128305.3839,330641.0242,26456.36177,495.75727,279636.2457,329751.3597,384145.6439,223185.2084,14548.58957,273.6598733,196730.5493,222647.0387,253564.44,173901.2498,11859.47094,216.5822842,151238.8783,173949.7172,197480.5913,80241.73064,4055.331668,76.08087403,72457.24668,80179.97801,88288.67535,0.611239669,0.248411773,0.004536564,0.1303,0.6077,1.1056,0.50695446,0.030767125,0.000561782,0.446304646,0.507019905,0.56459599,NA,NA,80588,,,
1980,102521.43,0.52,199352.75,250580.96,139449.8179,15786.79293,295.1383724,110633.0726,138691.5112,173170.2048,210846.0516,18551.13774,345.713628,175947.768,210391.9899,249332.4536,171267.8167,16100.73142,300.7480448,142263.5967,170319.7048,205924.4507,220556.9676,23106.41529,429.763102,178981.9483,219554.4117,270228.0271,101770.2325,9566.352938,174.4609508,84107.46415,101322.0746,121974.3025,0.075714065,0.26280813,0.004673727,-0.4439,0.0765,0.5947,0.187064987,0.022936139,0.000418576,0.144337938,0.186089989,0.234863458,NA,NA,101135,,,
1981,102521.43,0.52,199352.75,250580.96,115957.4228,9368.31516,178.5055804,98670.73025,115568.3987,134944.9429,130165.5011,13832.681,252.4850671,105359.1491,129597.499,158191.8089,165555.5639,10452.99538,198.1266389,146687.3861,165268.9388,186887.5974,183412.6506,12720.27026,237.6236881,160000.9624,182672.7474,209381.6019,84621.16969,4199.952443,77.06327591,76798.43025,84487.1985,93022.42608,-0.345908641,0.257939335,0.00471027,-0.8605,-0.3463,0.1698,0.299940259,0.027142954,0.000514982,0.248252654,0.300097667,0.353143495,NA,NA,84097,,,
1982,102521.43,0.52,199352.75,250580.96,115315.5108,21861.23852,399.1769174,77620.10219,113170.4993,165097.8418,147395.3568,12211.16526,227.4419045,123914.1576,147298.7036,171623.534,241580.0709,24803.91239,453.0060558,198351.0792,239605.5163,295054.7384,182473.8592,34169.48789,623.8643154,124028.3116,179702.9362,261746.381,84210.07948,15375.74319,280.7064907,57700.10491,82616.98559,118964.1884,-0.201054445,0.2636993,0.004815863,-0.7313,-0.2000,0.3308,0.525629524,0.05281705,0.000953987,0.419592607,0.525755322,0.629353369,NA,NA,86213,,,
1983,102521.43,0.52,199352.75,250580.96,177496.4902,20414.00576,372.6759657,140733.1286,176431.3237,219063.5326,155774.5507,17716.03436,323.4488805,123304.0507,154666.2238,191660.1801,299386.6902,23364.95824,426.5870616,255878.3653,298838.4507,347370.2641,280736.7035,29950.77446,529.3114937,225712.2983,279527.448,344811.8431,129540.5372,12504.58882,228.3394573,106988.6696,128986.0517,155472.0456,-0.276123937,0.298344121,0.005447193,-0.8683,-0.2710,0.3055,0.408073136,0.036799941,0.000675145,0.337827964,0.407593951,0.481799599,NA,NA,134601,,,
1984,102521.43,0.52,199352.75,250580.96,171081.3496,19602.57221,387.6935706,135193.572,169872.0062,211900.6933,375255.5256,27601.41241,514.0702783,323021.7291,374870.5732,431702.3433,272033.6163,21972.36277,407.7771641,231314.324,271232.3462,316372.9889,270619.1709,29029.44905,545.3536218,217324.9918,269002.6745,330732.9567,124865.1206,12057.87413,227.1143361,102862.3635,124371.0428,149789.7475,0.606916811,0.279068594,0.005013209,0.0275,0.6126,1.1586,0.37215702,0.035395061,0.000626408,0.305480359,0.371640971,0.443381285,NA,NA,123190,,,
1985,102521.43,0.52,199352.75,250580.96,81143.16091,9693.393351,187.7669247,63251.38506,80548.3593,101232.0103,173115.1753,16325.7063,294.2915379,143635.2407,172221.437,207440.3033,216700.1727,16111.21003,294.2348726,186965.778,216463.2937,248789.7554,128336.9477,14268.84245,272.0789219,101649.2801,127662.3424,157135.444,59215.59619,5989.754118,113.7081087,48147.23333,58994.72453,71576.18414,0.125710522,0.264940437,0.004756614,-0.4012,0.1167,0.6777,0.625386286,0.036549981,0.000682455,0.553601433,0.626031874,0.695703235,NA,NA,58335,,,
1986,102521.43,0.52,199352.75,250580.96,33003.39944,2663.053752,48.56926908,28240.78227,32861.15887,38741.96556,184643.7287,16488.98046,307.9329012,153888.0346,184250.3484,217322.4499,195534.3416,15893.05788,290.2592293,165748.4965,194758.5833,228545.5439,52200.10339,3567.98758,65.07504164,45568.67786,52106.55922,59416.19706,24085.96908,1211.086149,21.75306368,21816.38077,24055.74549,26586.56668,0.842281792,0.283180043,0.005034872,0.2787,0.8393,1.4228,0.830344859,0.017122697,0.000312491,0.794212741,0.830995965,0.86146235,NA,NA,23947,,,
1987,102521.43,0.52,199352.75,250580.96,68130.70174,7943.555545,144.9705157,53894.28786,67669.65363,85387.65257,349478.7322,29367.94225,536.3115544,296022.7219,348390.644,411119.6153,138771.3908,10151.09175,186.6313096,120284.9543,138225.9127,159617.3473,107769.9794,11808.88311,215.5480442,86919.07627,106915.4102,133166.3162,49720.22432,4867.017243,88.85279748,40949.37549,49485.00257,60110.79704,0.937423605,0.265143681,0.004951876,0.4124,0.9401,1.4769,0.50952208,0.038588329,0.000720522,0.432551136,0.508883142,0.585111505,NA,NA,48972,,,
1988,102521.43,0.52,199352.75,250580.96,39959.28324,4741.392999,84.9535629,31514.67161,39706.15784,49684.97841,252249.5526,26345.4245,494.7563651,204366.3031,251242.9347,308065.2141,120608.7506,9204.529106,171.4527692,103982.9241,120198.016,139686.1531,63203.63888,7010.226623,125.5750375,50607.01944,62742.99798,77848.06483,29161.50628,2919.165006,49.62538357,23917.31514,28958.35201,35410.15228,0.999944304,0.284825758,0.005028248,0.4333,0.9952,1.5643,0.668269733,0.034287996,0.00062563,0.598201058,0.669398547,0.731156883,NA,NA,27722,,,
1989,102521.43,0.52,199352.75,250580.96,191419.4151,15212.40612,277.5417825,163797.3899,190607.0301,222996.287,230124.9115,19555.13514,398.2062748,193210.8227,229146.3453,269897.6235,342380.9102,21485.41324,404.1143968,303191.4076,341926.0143,386472.5623,302773.8122,20498.32074,367.2029319,264260.3117,302155.9224,344301.0273,139701.3837,6850.333775,123.1595349,127006.9104,139536.6454,153605.412,0.105027224,0.296832737,0.005314827,-0.4874,0.1118,0.6755,0.440717723,0.030884231,0.000549662,0.382149931,0.440589674,0.501133662,NA,NA,141475,,,
1990,102521.43,0.52,199352.75,250580.96,82795.29996,6711.832034,133.1682673,70257.23511,82628.5133,97204.28203,170482.7666,36905.73478,701.9688521,112245.8113,165173.635,253500.5484,234223.9554,16331.88504,292.2351561,203702.8227,233555.4322,267669.507,130952.5186,9016.590477,180.625937,113729.3599,130790.077,149849.0236,60420.37784,3020.246835,56.35051479,54601.56782,60381.14356,66502.35013,0.058607796,0.31739897,0.005913898,-0.5674,0.0576,0.6833,0.645617722,0.029126845,0.000544242,0.586684321,0.64663076,0.701472452,NA,NA,60230,,,
1991,102521.43,0.52,199352.75,250580.96,71133.19344,5749.972809,108.5371298,60714.73301,70907.40422,83022.38261,267744.4138,57883.80371,1081.369501,148433.0268,267826.9437,380011.6637,134427.6466,8564.137823,160.4435965,118563.4769,134253.1303,151670.8523,112508.9853,7727.798358,138.3513545,97844.31887,112242.7821,128350.4072,51911.24789,2592.819963,47.34521753,46926.93454,51866.0099,56946.19425,0.594334355,0.335089829,0.006001649,-0.1811,0.6190,1.1925,0.470530198,0.03178229,0.000597573,0.409331379,0.470193253,0.533488783,NA,NA,51138,,,
1992,102521.43,0.52,199352.75,250580.96,131013.4426,10398.62207,192.0509357,112281.5008,130688.3999,152825.6477,213261.7736,56565.69083,1032.974486,104711.8566,212341.5966,326926.4009,243919.9155,15369.60607,282.5583177,215987.671,243351.2395,276079.4788,207235.3846,14130.64656,267.3498319,181364.4534,206597.7556,236878.4659,95618.52157,4712.739552,86.06228296,86684.26358,95474.84483,105126.3917,0.057073001,0.373672637,0.006441411,-0.7244,0.0788,0.7488,0.462611071,0.030846358,0.000553304,0.401811062,0.462281896,0.52259318,NA,NA,95880,,,
1993,102521.43,0.52,199352.75,250580.96,285079.3701,23045.65731,427.7202601,242572.4968,284464.3095,332524.8103,331268.7942,41864.96727,730.3816297,251516.3944,330584.9864,412965.6062,386921.7055,25304.12394,461.8476003,338860.7029,386516.7457,441042.5916,450886.5833,30828.15508,562.7101287,394899.5102,449997.4682,514657.8794,208035.8773,10271.01716,190.5124387,189401.6408,207725.7295,229016.3413,0.505729527,0.433211237,0.008390509,-0.3878,0.5058,1.3227,0.263623655,0.024724244,0.000451423,0.21699356,0.263383706,0.313366471,NA,NA,212757,,,
1994,102521.43,0.52,199352.75,250580.96,107881.6766,9214.804683,168.9511288,90756.74666,107672.3581,126828.0205,266631.0172,22655.56482,432.8441758,225002.8883,266076.5611,313802.4578,235465.5808,15661.4702,323.0018928,206318.8329,235033.9017,267400.2553,170632.486,12651.18629,230.9810803,146286.7245,170100.2128,196773.1228,78813.78142,5804.943146,109.1160538,67901.34357,78758.41083,90456.16735,0.096710476,0.581575524,0.010621134,-1.0872,0.1228,1.1673,0.541342477,0.032352037,0.000590774,0.477582795,0.541314932,0.605369541,NA,153540,86385,,,
1995,102521.43,0.52,199352.75,250580.96,99719.11723,8481.084234,152.481319,83866.34972,99226.35411,117478.9581,53693.68812,8206.251518,149.8132343,38646.30781,53119.41787,71023.3791,170126.6728,11056.90516,203.4655872,150084.426,169548.7656,192740.9671,157721.7135,11616.15501,207.7165958,136308.4624,157242.3518,181653.753,72856.96913,5417.223851,96.57447581,62744.01044,72626.85588,84381.35154,-1.317832825,0.371388477,0.006781357,-2.1078,-1.2883,-0.6577,0.413865619,0.031742514,0.000569507,0.353601625,0.41329476,0.47640654,NA,184541,61783,,,
1996,102521.43,0.52,199352.75,250580.96,162264.372,17191.4765,329.4127084,129919.3231,161527.2926,197843.5918,170916.7902,12300.97829,224.5849795,148009.8294,170797.569,195459.8327,260813.3748,19613.2782,372.8935586,223677.9482,260236.2106,301122.2684,256645.2355,24900.87965,483.3335688,209989.9998,255711.2896,308581.9413,118679.6294,12819.02724,247.573383,95095.38983,118207.241,143845.2268,-0.356641228,0.430555139,0.007462835,-1.2885,-0.3283,0.4029,0.37863837,0.033950638,0.000629985,0.314911008,0.378101887,0.448255792,NA,262852,NA,,,
1997,102521.43,0.52,199352.75,250580.96,152290.0834,16362.66875,288.8782552,123124.0266,150910.6527,187739.6389,150309.243,11759.0842,218.4259572,128067.022,149871.9206,174757.8276,226927.0915,17973.06579,318.5395305,194801.5479,225736.1816,264707.7728,240864.4705,23677.17528,415.5789976,198192.6178,239278.0217,290606.9426,111369.0552,12038.20713,208.1037773,89746.51591,110907.8033,136753.1403,-0.463983631,0.40936901,0.007603111,-1.3465,-0.4393,0.2681,0.329880922,0.032018828,0.000562928,0.266882357,0.329105145,0.394753499,NA,238803,NA,,,
1998,102521.43,0.52,199352.75,250580.96,134798.5383,13481.29894,252.5083645,110271.713,133998.1536,163565.9316,81794.93148,9097.033943,166.0431788,64417.62121,81665.53006,100647.1084,249429.4008,17480.31363,326.9947337,217036.1884,248489.6823,285012.0776,213209.8242,19332.25001,367.3398283,176544.5379,212389.8258,252961.8417,98594.20225,10103.58263,188.6444452,80151.72569,98228.44584,120183.586,-0.888998482,0.267971089,0.004808803,-1.4198,-0.8816,-0.3993,0.459796581,0.035009266,0.00066883,0.389995426,0.459741462,0.528395011,NA,211114,NA,,,
1999,102521.43,0.52,199352.75,250580.96,157306.1901,9830.264134,179.5115091,138891.6504,157258.9426,177450.0291,134609.4208,9590.113695,178.2499045,116174.8903,134358.8533,154274.3781,305346.8821,17541.03598,320.3329633,272643.0437,304560.8715,341834.493,248791.9743,11151.12208,207.3241677,227605.6146,248460.0899,271770.4991,114996.4167,6665.036843,121.6901923,102519.9853,114808.7675,128967.4328,-0.405930875,0.268383847,0.004900786,-0.9481,-0.4035,0.1071,0.48418991,0.028559318,0.000521552,0.426648197,0.483770084,0.540827258,NA,240002,134048,,,
2000,102521.43,0.52,199352.75,250580.96,67149.65761,4945.486968,91.2769367,57920.05296,67054.19393,77321.89101,59433.91992,6589.208007,124.9211715,47214.09392,59291.50577,72694.43327,147327.5378,9288.418735,169.5711366,130529.9439,146913.0067,166406.7167,106211.9593,6451.40793,115.8832113,93895.68527,106098.5122,119416.6815,49021.77396,2258.062775,39.99916715,44785.95896,48990.83135,53544.34397,-0.83143655,0.264487193,0.004594084,-1.3675,-0.8329,-0.2875,0.5435062,0.030694585,0.0005909,0.483471956,0.543054804,0.604456765,NA,132687,47077,,,
2001,102521.43,0.52,199352.75,250580.96,67166.96538,5252.556207,95.90198622,57480.30959,67020.87523,78017.72725,65490.56652,6585.177686,113.783271,53332.70674,65265.62131,78926.68506,127319.2553,7810.855164,142.6475263,112698.2264,127243.5807,143127.5507,106235.6562,6982.167403,130.6399523,93328.3386,106029.6105,120919.2757,49111.45279,3795.342629,71.91322811,42153.28334,49006.61373,56961.35557,-0.889938652,0.346168864,0.006321618,-1.6219,-0.8700,-0.2738,0.472154193,0.030940614,0.000564881,0.41231166,0.471928764,0.534311092,NA,105064,53239,,,
2002,102521.43,0.52,199352.75,250580.96,90955.09748,9153.895708,167.1626067,74302.29043,90343.18651,109579.4953,47632.03728,5262.870827,96.10369344,38156.10923,47267.4974,58444.78707,139230.7208,10239.93478,186.9455411,120332.1566,138699.0193,160582.9546,143863.2262,13146.61522,240.0967745,119715.7398,143359.2811,170448.189,66424.15573,5756.684648,102.5949776,55883.02531,66214.82666,78200.67132,-1.232204266,0.261660923,0.004677891,-1.7491,-1.2343,-0.7227,0.347451579,0.032360379,0.000609496,0.286536224,0.347254683,0.413811078,NA,148465,65611,,,
2003,102521.43,0.52,199352.75,250580.96,74357.25353,5707.078133,106.4241916,63630.28141,74195.53989,86278.60643,161952.2643,13075.09968,238.7000007,137815.545,161899.8067,189389.5648,124438.6108,7388.202328,138.0421248,110960.7447,124084.2531,139464.2416,117615.2622,7636.126667,139.4057443,103082.1393,117277.2693,133030.4872,54373.39418,4173.065835,78.22182614,46520.09064,54214.56784,62780.47575,0.105829605,0.260295299,0.004753256,-0.3844,0.1081,0.6171,0.402419301,0.02980322,0.000543761,0.343158602,0.402851398,0.460749878,NA,116891,55516,,,
2004,102521.43,0.52,199352.75,250580.96,77448.37953,5396.277406,98.53006552,67633.45644,77212.40084,88514.31599,228107.1047,14649.22741,267.3051697,198803.9176,228177.6187,257588.9992,127988.0633,7261.361277,136.1214548,114497.0347,127676.3133,142748.0334,122505.6752,6928.602784,126.5106691,109763.3938,122094.0654,136825.0144,56631.23907,3924.40398,70.54211119,49552.50407,56431.55642,64866.38563,0.427129948,0.252798703,0.004541038,-0.0737,0.4224,0.9436,0.394693601,0.0285185,0.000520802,0.338298626,0.394253975,0.451496938,NA,118795,83534,,,
2005,102521.43,0.52,199352.75,250580.96,54062.6801,5382.588453,104.0980797,44188.24559,53862.23774,65467.90143,63579.79471,6944.545562,129.3363394,50952.71954,63423.8864,77971.53075,77388.03639,5798.506132,114.6316664,66687.33011,77189.32075,89675.92559,85497.7387,7580.329915,138.3859816,71234.41751,85294.38999,101238.4325,39516.8445,3775.255517,71.0913955,32509.98506,39403.61985,47239.15382,-0.610595617,0.278641281,0.004968608,-1.1526,-0.6158,-0.0262,0.302250883,0.030193494,0.000551389,0.247258225,0.301608739,0.363849408,NA,89072,32098,,,
2006,102521.43,0.52,199352.75,250580.96,53160.56489,6751.383287,131.0690854,40909.13273,52735.05605,67081.13233,87441.98743,8133.783818,148.5498717,72250.11492,87126.30048,103963.7829,69245.3965,6894.316689,132.4979799,56893.16644,68747.59558,83863.97115,84084.29453,10078.39107,193.2450975,66275.07719,83282.62095,105510.962,38847.62808,4740.850646,89.69663241,30696.50968,38481.19501,49258.45737,-0.274571908,0.283746152,0.005054956,-0.8254,-0.2840,0.3088,0.234083121,0.029221425,0.000561149,0.181002778,0.232658141,0.294775667,NA,91439,38850,,,
2007,102521.43,0.52,199352.75,250580.96,39088.45388,3363.40661,61.36104253,33007.90266,38964.19197,46050.57931,220765.3269,14892.07272,271.788844,192712.403,220785.4442,251404.6359,53598.24236,3679.476864,67.1555152,46819.82748,53477.01392,61186.86906,61823.28333,4605.052257,82.69057455,53294.39586,61705.02168,71186.42795,28554.4343,2096.830887,38.63609804,24684.84032,28493.37943,32745.71429,0.884699274,0.276218299,0.004898145,0.3465,0.8786,1.4556,0.271219298,0.02613047,0.00046505,0.222835545,0.270698801,0.3253888,NA,59884,27915,,,
2008,102521.43,0.52,199352.75,250580.96,76940.48629,5784.146037,105.5906828,65837.19841,76833.06219,88549.97264,161249.8886,14418.4935,265.2651065,133512.9548,161084.8662,190864.2003,99640.06183,6213.472928,110.901216,87930.13084,99556.31719,112048.9182,121803.5042,9174.504191,167.4769341,104628.4956,121393.6358,140769.2653,56318.80289,4944.933658,90.25096747,47154.94542,56183.63676,66689.52165,0.083087195,0.260097327,0.004750283,-0.4223,0.0794,0.6154,0.228177276,0.022187973,0.000405124,0.187514111,0.227292124,0.273773074,74919,119808,NA,,,
2009,102521.43,0.52,199352.75,250580.96,154180.4714,7088.805028,129.4273694,141243.2543,153965.4989,168903.9348,198633.6802,13363.53684,247.3663295,173691.8717,198093.871,226196.8071,237651.2192,10751.17773,196.3325983,217199.3802,237231.776,259811.0067,244240.2924,14318.91446,281.814091,217184.0626,243446.3304,273804.0885,112941.7143,8504.877314,157.9874708,97628.23845,112312.8457,130762.5645,-0.011229963,0.265155485,0.004640989,-0.5373,-0.0069,0.5254,0.350795791,0.02434208,0.000444542,0.304884501,0.350486111,0.400822697,153033,285218,NA,,,
2010,102521.43,0.52,199352.75,250580.96,57864.55173,2562.936109,46.79645093,53023.16826,57769.1275,62952.77721,86035.90159,9191.15565,170.5286538,69089.74046,85937.07767,104705.9721,107159.7877,5589.420062,102.0576997,96698.15008,107049.6995,118883.3403,91648.20849,4958.68384,90.54843669,82438.46428,91479.67407,101960.3157,42379.83136,3039.158805,56.58312124,36710.87851,42212.74742,48565.86023,-0.360035055,0.277008922,0.004916559,-0.9152,-0.3684,0.1975,0.459133178,0.027074917,0.000494482,0.406071087,0.458763264,0.51227922,61906,72318,NA,,,
2011,102521.43,0.52,199352.75,250580.96,65292.38921,2867.852102,56.62395498,60184.84362,65234.00837,71300.32214,118638.8217,21622.48739,394.8571921,84593.35887,115921.3652,171386.4651,81140.5584,3282.106915,66.07770129,75244.46013,81035.77524,87873.55661,103402.5973,5358.33105,100.6163723,93230.22357,103259.8463,113930.3565,47818.13963,3391.180746,61.93444699,41602.51277,47639.60403,54847.59088,-0.131934902,0.297443073,0.005378026,-0.7126,-0.1315,0.4837,0.195249973,0.017192391,0.000306254,0.161980059,0.194548778,0.229776065,63628,109335,NA,,,
2012,102521.43,0.52,199352.75,250580.96,114029.0158,8083.359413,143.0509561,98876.78305,113769.0319,130694.6899,174079.8477,99158.40377,1844.767407,54784.50375,152362.4801,425674.8345,168962.0364,9593.189381,175.2019477,151020.5951,168662.4077,188823.5418,180523.2507,12893.74406,219.2815105,156529.3287,179959.7316,207563.689,83466.57569,7018.434694,125.2611721,70485.96452,83109.27735,97745.85221,-0.179033815,0.542761905,0.009910478,-1.2502,-0.1734,0.8824,0.325191414,0.026749386,0.000524235,0.275676855,0.324161911,0.378755187,121810,171924,NA,,,
2013,102521.43,0.52,199352.75,250580.96,127241.415,9231.561657,179.7329684,110345.4239,126877.1517,146315.4802,,,,,,,202445.4969,11666.74639,205.5362526,180326.3979,201916.3832,226851.1125,201431.4241,14581.79096,270.6138255,174495.5328,200621.9825,231543.562,93143.93293,8032.279627,149.2460818,78235.79153,92775.61635,110308.3078,,,,,,,0.371467647,0.027812742,0.000530124,0.317518208,0.371175295,0.425220159,116300,224516,NA,,,
2014,102521.43,0.52,199352.75,250580.96,77815.90829,3679.124619,70.23000864,70950.355,77733.02107,85373.41923,,,,,,,161013.6262,8946.572192,171.3500073,144512.4895,160650.7423,179738.5327,123260.8524,7193.028393,134.5114248,109842.0583,123095.082,137524.6868,56992.68518,4199.274166,77.85312515,49174.31714,56865.66401,65622.64887,,,,,,,0.51572157,0.027556532,0.000502807,0.461568955,0.515913422,0.570118763,70470,212201,NA,,,
2015,102521.43,0.52,199352.75,250580.96,94073.57007,8693.35964,155.2084065,78121.88847,93590.9033,112509.2004,,,,,,,127688.8991,9262.962703,166.2704654,110561.2244,127389.3188,147381.4211,148836.0528,12742.72617,232.6478674,125332.4674,148212.19,175879.1793,68824.04285,6730.364894,122.8760616,56696.95507,68533.36749,83174.23271,,,,,,,0.263996606,0.026072078,0.000503064,0.215877397,0.263568529,0.316612949,175874,124892,NA,,,
2016,102521.43,0.52,199352.75,250580.96,71738.30073,4998.269009,91.27252405,61993.64651,71474.32561,81804.61981,,,,,,,108054.0455,6174.475292,112.760603,96523.26418,107860.0899,120391.8729,113553.4514,7710.603501,137.3436481,99505.98704,113254.1688,129418.8581,52508.43327,4329.868632,76.99616898,44668.36982,52249.16382,61444.12234,,,,,,,0.336055737,0.027141581,0.000495652,0.284924621,0.335956225,0.390497002,88513,96148,NA,,,
