"","year","h.below2.5.","h.below25.","h.below50.","h.below75.","h.below97.5.","mu.hbelow2.5.","mu.hbelow25.","mu.hbelow50.","mu.hbelow75.","mu.hbelow97.5.","S2.5.","S25.","S50.","S75.","S97.5.","N2.5.","N25.","N50.","N75.","N97.5.","log.resid2.5.","log.resid25.","log.resid50.","log.resid75.","log.resid97.5.","R2.5.","R25.","R50.","R75.","R97.5.","log.qS.mr2.5.","log.qS.mr25.","log.qS.mr50.","log.qS.mr75.","log.qS.mr97.5.","log.qS.weir2.5.","log.qS.weir25.","log.qS.weir50.","log.qS.weir75.","log.qS.weir97.5.","qS.weir2.5.","qS.weir25.","qS.weir50.","qS.weir75.","qS.weir97.5.","qS.mr2.5.","qS.mr25.","qS.mr50.","qS.mr75.","qS.mr97.5."
"26",1995,57494.2413125211,65882.8212142138,70316.0276809152,75153.0531061876,85554.5560907453,0.35434266596719,0.393737837221229,0.413924796540364,0.434807283309572,0.47540324145467,84747.0325035526,93988.1454119548,99585.1002844416,105303.161168215,117546.705894073,150345.677620191,163005.448449524,170175.088184051,177499.438577101,192495.786133128,-1.6371991338412,-1.3362447002464,-1.17662930582423,-1.02234376487189,-0.683841410164335,38954.2136579977,48542.8821023054,53707.6693170402,59512.3457715964,71452.0427604516,11.8271181920444,11.9161858069861,11.9676046274573,12.0156473384512,12.1079958566677,11.0489048461875,11.1464188635458,11.1953394989959,11.2453316839888,11.3362151377129,62875.0591039088,69315.1561460622,72790.4105152045,76521.8565530067,83802.2501852613,136915.359073895,149669.649522759,157566.776907129,165321.4994373,181315.857509032
"27",1996,81242.1317317338,91578.7310568044,97771.705176249,104505.324329537,119006.279568016,0.314236274078536,0.355217369549222,0.378690159851709,0.402031476578403,0.443516091172227,130390.580368411,149750.953868156,161237.972716682,172868.14386577,197607.242732733,223374.109253754,246072.378601731,259871.273787657,272900.634731104,301385.14390466,-0.603622823154075,-0.30966748683834,-0.168667902308169,-0.0265403407725846,0.28027485671879,146798.887511732,162132.496726531,170033.700967806,178691.025438118,196259.958741052,12.2507269251919,12.3828338676973,12.4492205660469,12.5114327541427,12.6320982353112,11.4614120197139,11.6036805741123,11.6773093386623,11.7481865178313,11.8832622426826,94979.0894831477,109500.081813078,117866.669059193,126523.903455764,144822.228791043,209133.257903075,238669.224667437,255051.451098228,271422.724665493,306231.992045891
"28",1997,61900.2015216865,69479.2597306865,74417.9463280179,79715.3298394546,90915.8711299366,0.268455518411734,0.307004095911268,0.328848840278906,0.35122931808134,0.397693257524063,124298.584231137,141486.573165455,151774.533218451,163158.293113949,185826.274423721,195821.715298763,215499.107292997,226922.925333416,238687.370226895,263261.582620662,-0.711689797525868,-0.424325257526958,-0.28782310253438,-0.151236706020559,0.138853798030785,127343.154883921,141711.100995229,149215.566385555,157972.933188256,174365.903091395,12.2052409900903,12.3243284170523,12.3887800400421,12.4543129237274,12.5735049931317,11.4076165372928,11.5436660984336,11.6176696810247,11.6903444706634,11.8288163886946,90004.64323562,103121.800580933,111042.654943978,119413.133614864,137148.066329304,199833.738175067,225106.390762951,240092.618954248,256353.57530949,288804.421931119
"29",1998,94818.9591900781,106731.767011146,114420.178320496,122106.449970463,139036.660203029,0.392418956866157,0.436182351782535,0.460410325328643,0.48369514537879,0.53109124495858,110892.337936539,125421.563987616,134005.811272979,142927.52544985,163013.955320636,217723.557866814,237596.34461773,248615.690673308,260649.496982526,284177.671266264,-1.30865810493854,-1.00225031371216,-0.864849470066131,-0.723407898659717,-0.420792432717994,65113.5484833294,75595.4524948505,81663.4932834837,88233.7967506529,100851.657888418,12.0924074149762,12.2042869665056,12.2637968158037,12.3240633213785,12.4371669717301,11.3027477413107,11.4268849640575,11.4905422286908,11.5596339073764,11.6902624992656,81044.0221069867,91755.7068913866,97786.5410578263,104781.646643942,119403.345606659,178511.342200522,199643.184265825,211884.547046828,225046.724219394,251995.616708504
"30",1999,121391.291077554,137151.386785219,146391.370996711,156690.525632567,177422.036123282,0.427176330766578,0.463315715830205,0.483172159420184,0.502690904554479,0.53881472019499,139426.265235961,150622.880316019,156740.963806948,163480.684861207,176749.396427863,273403.346986326,292455.834584174,303279.795762784,315350.701248466,341240.32792573,-0.840565419647285,-0.535076936515669,-0.407355278570763,-0.268314657567321,0.0282608922212993,116484.44283837,127782.516011569,134153.492834643,140919.687397942,152914.946382921,12.3346397486062,12.3908150854442,12.4214108988968,12.4523546313912,12.5114315699491,11.5332861833172,11.613021498089,11.6504981634911,11.6887434044959,11.7640958505169,102056.941232936,110527.70561891,114748.512342548,119222.098275358,128552.912875464,227439.545836516,240581.715805735,248056.271600545,255852.051242855,271422.403249036
"31",2000,66063.8300178912,74585.5082210629,79566.8694493032,85065.4580040872,96012.8874983185,0.483470443884037,0.522200070307086,0.543104708992552,0.563814374458507,0.602018381656613,58264.2417676491,63802.0212733503,67101.3161538227,70350.8031500306,77252.514304505,130681.0798931,141004.152802983,146823.598209658,152863.780502301,165675.24621991,-1.30200201554177,-0.992946566592393,-0.854234146012589,-0.708019956374823,-0.380612580208342,47841.0647868995,55396.3853898155,59652.1653444403,64563.4543109763,73939.9355369665,11.4591670571353,11.5316091000608,11.5726656551771,11.6123006705643,11.6895652574586,10.7105424920043,10.770924103137,10.8000988666977,10.8305264999774,10.8869102728087,44825.9504469917,47615.9992831314,49025.6479008915,50540.3092619872,53471.8311070349,94766.1028929013,101885.926868521,106156.070692282,110448.062994793,119320.122724017
"32",2001,49524.0192963586,56073.8934979659,59951.3364065587,63959.3231187844,73204.6379477736,0.411326105693273,0.452041103683897,0.472145503294464,0.49431569225417,0.534711742433996,57447.6710881339,63472.244793633,66807.5162722212,70451.8512616176,77995.0802793875,112688.41505212,121681.416021948,127090.966756291,132447.790120783,143812.583934763,-1.21178687085148,-0.908131030079875,-0.75783281418483,-0.623420890678763,-0.313253044020658,53430.83948787,60752.1759310813,64737.7721633888,69562.8014121995,79255.5932621634,11.4393703623419,11.5249260846621,11.5691285240936,11.6147044861086,11.6957513815847,10.6450570054521,10.7446409088162,10.7978610916176,10.8506979986297,10.947126023126,41984.5515134191,46380.8022950799,48916.0621876382,51570.1346854594,56790.5957471811,92908.4949381255,101207.291608315,105781.2460446,110713.879043008,120060.538460529
"33",2002,39543.2066295616,44863.8346898455,47969.3967378718,51263.855821649,58214.790785426,0.287489979365467,0.324380613031658,0.346241630525635,0.369248052836633,0.411990384040884,74205.1056444865,84404.8555053747,90505.1520698353,96957.217048941,109413.220383525,120203.262010313,132157.489739534,138621.029824705,145593.604908127,159897.552903508,-1.68159334561433,-1.3838029734149,-1.24946512527316,-1.11633629486534,-0.792083167635777,38624.4024473352,44441.5892657137,47647.6851929699,51244.586843392,58101.6692403525,11.6866864582562,11.8110253765197,11.8702510862301,11.9309178693178,12.0470688130694,10.9251892250742,11.0421113766419,11.0992302856572,11.1567543253291,11.2636809609095,55558.3570877839,62449.3668440337,66120.2469796237,70035.2752781891,77938.9387195933,118977.116881106,134729.639259525,142950.127016629,151890.91374197,170598.61862771
"34",2003,40951.9594190895,46702.9150628028,49977.5198585786,53342.7878739707,60417.2625152742,0.343657806784179,0.382800609967482,0.402262315897197,0.423353055229141,0.463678414842999,63915.3242494029,70355.7393339019,74011.7422317076,77905.0494622247,86906.1384390003,110212.598261756,119576.288025051,124207.243074132,129417.400746475,140184.892715486,-0.331082274437776,-0.0543987888631476,0.0787598625510135,0.211456330123062,0.527105301904388,136745.048675858,152703.974302986,161557.340220807,170473.312509617,187795.243635698,11.547713394005,11.6296171067707,11.6715605026884,11.715686909987,11.799092480102,10.7570718622371,10.8493893077095,10.899587908703,10.9519647808283,11.0501406876416,46960.9585044319,51502.6896846862,54154.0428583549,57066.0576300328,62952.8106659989,103540.010721744,112377.285422276,117191.016690376,122478.025599513,133131.48092328
"35",2004,41506.0471885948,46984.6085070054,50335.7178445444,53557.2655952586,60613.5099233564,0.340091643353084,0.37493155145291,0.393791340028015,0.412955182268979,0.450912543149282,67657.5140958057,73622.1961961023,77404.5746909965,81093.7346112836,88662.2724589018,114331.63843653,122963.418067777,127692.956886943,132724.101159644,143155.941525523,0.00443405118340521,0.267136022911172,0.399272274720015,0.529860320740931,0.843004577563639,199438.391487591,218278.364467552,228179.031085782,238219.526164712,257640.533837264,11.602773505405,11.6754018773649,11.714829773798,11.7524049885595,11.8221227731016,10.8040593107882,10.8941867014568,10.9412398284549,10.9920932416415,11.0806177933575,49220.1962330367,53862.3341150175,56457.2971744784,59402.598060494,64900.966413389,109400.802632777,117642.056920313,122373.09023799,127058.76675368,136233.114367713
"36",2005,19038.046764785,21699.9807983556,23312.6608916786,24868.1756604108,28175.3375168426,0.247444530343619,0.281689782011561,0.30146587362557,0.322379659485488,0.36027616237414,44620.5613832264,50668.5218034565,53908.3367546157,57572.5981829231,64790.4132296011,67155.8625708247,73581.5226185207,77359.0840901673,81433.0293854589,89235.8362947299,-1.11874194887256,-0.798951080552616,-0.651972837486718,-0.491085824032457,-0.146599277518628,50624.4089315698,58806.8108222016,63289.7824993077,67996.3068964831,77242.9907403816,11.1843881528144,11.2970728991024,11.3554373107989,11.412914857371,11.5248973885553,10.392435992037,10.5189154483039,10.5841382174203,10.6458089800445,10.7699257964879,32612.0134630588,37008.9646140255,39503.2496788417,42016.1345973424,47568.4876357259,71997.6066864985,80585.4103634319,85428.6933550021,90482.7819934591,101204.388506756
"37",2006,13116.809999129,14965.4559479377,16007.035009219,17098.6826309123,19416.6924975498,0.180632672628454,0.21210715647893,0.232735455297598,0.252527799805502,0.29371922785294,41462.5722382008,48539.9675370281,52769.9387739792,57388.9773710832,67611.6942493534,57047.6147645229,64450.7489061918,68889.0813976448,73530.0313938432,84151.7414889178,-0.762203706552743,-0.461825459204196,-0.313965660268824,-0.158803647708775,0.209010695875307,72385.8959661079,82074.9440719411,87411.2017752922,92552.8021589661,102913.388997805,11.1096685126675,11.2546576928136,11.3303028111038,11.4136031115364,11.5646723217109,10.3259580716577,10.480240045885,10.5618369315881,10.6420577036099,10.8016625012344,30514.5248079865,35604.9534244879,38632.0272597433,41858.8157712585,49102.3660957951,66814.0404482571,77238.8381400147,83308.2457301304,90545.078583965,105310.913041749
"38",2007,11962.6796560975,13476.6656866392,14411.8527820472,15413.2786491135,17511.7708263348,0.22115641724728,0.252623676880381,0.269406685673085,0.287380515033806,0.324576807905045,33004.4074087655,36764.8365379827,39016.1282567646,41369.9301499892,46379.5432338789,46874.9666298185,51150.3310250055,53482.8216866023,56022.6242257861,61368.0782719254,0.41411539873243,0.693260552810628,0.845302419334318,0.994067260043176,1.33750249795831,192171.326138633,210903.097143575,220932.440448943,231331.31414968,251888.366425711,10.8810078075788,10.9808257717163,11.0291390282007,11.0830545905936,11.1777466260654,10.1125065709285,10.2090175579616,10.2589747369858,10.3103130267241,10.4009182825247,24649.3687780163,27146.8842438888,28537.5127321161,30040.8387691717,32889.8139646901,53157.14511711,58737.0376526017,61644.4840308197,65059.3097618868,71521.0169408851
"39",2008,18556.7894674215,21079.0587241856,22526.3086600456,24156.0152882459,27205.1394055283,0.184885987006227,0.212753885076962,0.227852337657983,0.24286962307486,0.273929758280961,65843.5627581975,72951.1979346696,76717.2657616186,80604.7238972766,89280.3748161402,87330.3532195213,95295.5668925552,99186.746442359,103570.080242909,112296.418589975,-0.362221211837696,-0.0831547893210058,0.0542901177229531,0.187956263449814,0.512067815387086,134225.85569425,151248.073405523,160881.959087707,170776.944971468,188828.461551329,11.5521147997168,11.6526158525002,11.705523866815,11.7567461162761,11.8553846718193,10.7523145043395,10.8733742586152,10.9338813612569,10.9938313374632,11.1132022145557,46738.0788816126,52752.912264926,56043.3827218263,59505.9351849869,67050.5582673392,103996.736721349,114991.771509968,121239.579994626,127611.544068619,140840.694477443
"40",2009,68992.3054265609,77643.5173241669,83074.671615202,88654.3088098588,100521.54881142,0.30411800737074,0.334306925669611,0.349593869283322,0.366319716616412,0.396945993302514,140826.464051858,149432.045569471,154108.491027461,159313.259953432,168481.644191218,217021.119551568,230100.283507948,237343.966560218,244809.216278397,260327.200786259,-0.42936049352645,-0.144351687660374,-0.0133502673071826,0.122324664753036,0.416099046600375,172856.560693421,189279.318343206,198252.897218206,207730.910387925,224857.634421176,12.2886262991952,12.3643192672767,12.4051245312166,12.4445388912208,12.5216425522258,11.4874425530576,11.5814152913212,11.6339196992136,11.6830895326495,11.7856596233089,97483.9037015791,107088.97303638,112861.840541514,118549.933749443,131355.100202657,217211.388562256,234291.013080356,244049.055508978,253860.172189657,274208.090696444
"41",2010,40481.0879310238,46089.6444657756,49213.0885701908,52510.0983757428,59456.8698078081,0.407561669274564,0.441618603099812,0.460775538656221,0.478328457350795,0.511864258958705,52655.6633870577,56109.3606741247,57807.6053075037,59431.0233155484,63205.5613518298,96855.3742310655,103506.674868953,106966.522927738,110892.618355091,118577.492720425,-0.836787270985153,-0.535325556749345,-0.396231327770406,-0.248211156697719,0.112477883721169,69349.275704489,80027.2644185366,85867.0295511619,91995.2376570885,104375.358903,11.3192601748753,11.3855286295084,11.4228807185029,11.4586365762615,11.5250722824374,10.5101816451387,10.6021655503993,10.651315760617,10.7004273846193,10.7891020796876,36687.1459547687,40221.8456348224,42248.1464420726,44374.8163238443,48489.4768042004,82393.3636870558,88038.4235613666,91389.0291128138,94715.8443689377,101222.089058746
"42",2011,12905.8841496326,14787.7733405635,15785.6861791088,16827.7788904614,19063.4821107568,0.162688355659166,0.183629823766968,0.194962217081008,0.206224988991012,0.230276070281752,59948.7854592561,63199.9982334863,65148.3184944937,67218.7033027038,71073.278142535,74958.0803549304,78805.5325403237,81038.1185372988,83219.3907352836,87709.5395293255,-0.654850452799707,-0.331346478579371,-0.163313931260095,0.0157891164167667,0.382575348995221,84598.3603845296,104074.24186935,116164.322500432,131291.046108875,169368.613448632,11.4388944989971,11.5089530261527,11.5436541431469,11.5788258958203,11.6454128311683,10.6355695757557,10.7252424466841,10.773045132674,10.8189743034737,10.9096929207788,41588.109515829,45489.7564660076,47717.1014079904,49959.8172657783,54704.044251188,92864.2937803716,99603.5440896751,103120.567733837,106812.03600355,114166.459245063
"43",2012,44957.0097628315,51262.5873563721,54667.6079763783,58442.6448682741,66324.4113045722,0.273066466590319,0.306859030359445,0.324253927005559,0.342328433917833,0.3804458316303,99190.7820551149,108802.689391664,114066.002394878,119556.916732087,132248.4100025,151554.581509918,162838.562791329,169132.213864055,175510.39093019,189926.105990468,-1.22171292516302,-0.518255895541411,-0.184443781059856,0.159956866847698,0.907205380792591,55428.8715983039,109820.969279925,153211.750329854,215037.419131529,444799.197401331,11.9628249298692,12.0545067611796,12.1036018063737,12.1509736260204,12.2482263661989,11.1613689060331,11.2727906455734,11.333439080164,11.390350852002,11.5009636376899,70359.2058969545,78652.1818105103,83569.9329137977,88463.9903198262,98810.9432361446,156815.452410564,171872.252389825,180520.894591788,189278.286419623,208610.961158484
"44",2013,61706.2079848126,69943.3603035075,74476.5708574182,79697.0968971988,90375.9352235325,0.314024197186178,0.351531584824482,0.369327885803039,0.38877470794854,0.42717220588152,110567.935016687,121182.078364348,126887.885477226,133239.09214238,146014.673081997,181091.121037397,193870.562173747,202067.373878933,210046.924349764,226314.146176358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0786779965913,12.1603135702197,12.2112742171302,12.2592637733764,12.3486792838826,11.2724428716436,11.3809777300343,11.4392276747578,11.4973779325531,11.6084144421889,78624.8343320415,87638.679916242,92895.2390263591,98457.2710180983,110019.670297933,176077.232179975,191054.41662539,201043.024752054,210926.239109401,230655.21202207
"45",2014,68415.5034638569,77537.4932794423,82974.7632392499,88666.447404455,100107.392837433,0.462685014468465,0.497023214022845,0.516548251960405,0.534461824081969,0.569759398346256,71046.2699721967,75354.0639440722,77695.7503025263,80137.8377032639,85106.6259094211,144280.543384827,154859.015319256,160863.779298918,166830.870710452,178677.704782037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6062891702153,11.6811070937625,11.7191341988,11.7578414633559,11.8390320241255,10.8027492616133,10.8991996985007,10.9477063829544,10.997757717889,11.0973887749213,49155.7575852788,54133.0237198095,56823.5642909989,59740.0374064514,65998.5978746789,109786.096097729,118315.148572692,122900.971361998,127751.401963193,138556.301001783
"46",2015,27638.1542325181,31287.9988098844,33401.5776242583,35675.0237714757,40478.4976312775,0.212681904496609,0.245677724036353,0.262523365260385,0.280879204809418,0.317124147256838,78355.1138719779,88354.2539462757,93718.2298855463,99637.9184521279,112702.643760963,111130.163162097,121581.104815814,127279.092794651,133497.239105511,147235.628379409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7423496916004,11.8505458062008,11.9056097655579,11.9635961403766,12.0785426181264,10.9439897556723,11.0710941823079,11.1375815527855,11.201129258294,11.3242551543323,56612.7642591989,64285.8087620858,68705.2952334973,73213.0717577429,82805.9471355173,125787.555038783,140160.826982866,148095.078148213,156936.43673183,176053.396828861
"47",2016,29744.2475370034,33673.0944082862,35932.6832999859,38482.1456325002,43378.5017134761,0.285653628434794,0.316669760903653,0.334679861591025,0.35301446607164,0.388443179453748,62542.7209619426,68280.6253492714,71574.8629625524,74971.1098167972,81493.9572043083,96457.7446350798,103608.504737032,107710.38490349,111782.670639041,120143.073645506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5024366774448,11.5905320922256,11.6374067030829,11.6834428090603,11.7657917530811,10.7036464970009,10.8075708791833,10.8656639367403,10.9219667765922,11.0255209562375,44517.8939010066,49393.340236384,52347.7343692809,55379.6112937349,61421.8527901155,98956.6032369336,108069.745821289,113256.077141161,118591.822042793,128771.108304197
