"oy_0.9","oy_0.8","or_0.9","or_0.8","of_0.9","of_0.8","oy_0.7","or_0.7","of_0.7","Escapement"
0,0,0,0,1,1,0,0,1,0
0,0.000333333333333333,0,0,1,0.999666666666667,0.000333333333333333,0,0.999666666666667,5000
0.000666666666666667,0.000666666666666667,0,0,0.999333333333333,0.999333333333333,0.00133333333333333,0,0.998666666666667,10000
0.001,0.002,0,0,0.998666666666667,0.997666666666667,0.003,0,0.996666666666667,15000
0.00166666666666667,0.00333333333333333,0,0,0.997666666666667,0.996,0.00866666666666667,0,0.991,20000
0.00333333333333333,0.00933333333333333,0,0,0.996,0.99,0.0416666666666667,0,0.957666666666667,25000
0.007,0.029,0,0,0.991666666666667,0.969666666666667,0.202333333333333,0,0.797,30000
0.0136666666666667,0.123666666666667,0,0,0.984666666666667,0.875,0.450666666666667,0.00433333333333333,0.548,35000
0.0493333333333333,0.314666666666667,0,0.000333333333333333,0.948333333333333,0.683333333333333,0.652333333333333,0.0216666666666667,0.346,40000
0.143666666666667,0.509333333333333,0,0.00533333333333333,0.853333333333333,0.488333333333333,0.778666666666667,0.0586666666666667,0.219,45000
0.298333333333333,0.667,0.000333333333333333,0.0186666666666667,0.697333333333333,0.33,0.864666666666667,0.128333333333333,0.133,50000
0.460333333333333,0.765333333333333,0.002,0.0496666666666667,0.533666666666667,0.230333333333333,0.907666666666667,0.215,0.089,55000
0.592666666666667,0.838333333333333,0.00833333333333333,0.0916666666666667,0.399333333333333,0.156,0.931,0.317,0.064,60000
0.701,0.884,0.0216666666666667,0.156,0.288333333333333,0.108333333333333,0.948333333333333,0.415666666666667,0.0456666666666667,65000
0.767333333333333,0.91,0.044,0.228666666666667,0.218333333333333,0.08,0.957333333333333,0.506666666666667,0.035,70000
0.822,0.926666666666667,0.0733333333333333,0.308333333333333,0.158333333333333,0.0606666666666667,0.962666666666667,0.583666666666667,0.0276666666666667,75000
0.849333333333333,0.938333333333333,0.115666666666667,0.389666666666667,0.118666666666667,0.0463333333333333,0.966,0.648,0.0216666666666667,80000
0.857333333333333,0.941666666666667,0.168666666666667,0.461,0.0896666666666667,0.0366666666666667,0.966333333333333,0.704333333333333,0.0186666666666667,85000
0.837,0.937333333333333,0.224333333333333,0.534666666666667,0.0746666666666667,0.0296666666666667,0.968,0.746666666666667,0.013,90000
0.802,0.923,0.286666666666667,0.589333333333333,0.0573333333333333,0.0256666666666667,0.962333333333333,0.784666666666667,0.011,95000
0.738,0.901,0.351333333333333,0.640666666666667,0.0466666666666667,0.0216666666666667,0.952333333333333,0.807666666666667,0.00966666666666667,100000
0.669,0.861666666666667,0.408,0.687,0.0393333333333333,0.0186666666666667,0.930666666666667,0.833333333333333,0.00866666666666667,105000
0.594333333333333,0.806333333333333,0.467333333333333,0.726,0.033,0.0146666666666667,0.905333333333333,0.856666666666667,0.007,110000
0.524333333333333,0.74,0.521333333333333,0.759666666666667,0.0283333333333333,0.011,0.864666666666667,0.876666666666667,0.006,115000
0.464333333333333,0.667666666666667,0.568666666666667,0.785666666666667,0.0246666666666667,0.011,0.812333333333333,0.890333333333333,0.00566666666666667,120000
0.399,0.597333333333333,0.605666666666667,0.804666666666667,0.0216666666666667,0.00933333333333333,0.747,0.904,0.00566666666666667,125000
0.341,0.534666666666667,0.648,0.823666666666667,0.0193333333333333,0.00866666666666667,0.678666666666667,0.914,0.00533333333333333,130000
0.29,0.480666666666667,0.683,0.841333333333333,0.016,0.007,0.612333333333333,0.922666666666667,0.005,135000
0.256333333333333,0.416333333333333,0.713,0.859,0.0126666666666667,0.00666666666666667,0.557,0.929,0.00466666666666667,140000
0.221,0.362666666666667,0.734666666666667,0.877,0.011,0.006,0.501,0.935666666666667,0.004,145000
0.188666666666667,0.312666666666667,0.759333333333333,0.887666666666667,0.011,0.00566666666666667,0.445333333333333,0.943666666666667,0.004,150000
0.159333333333333,0.274333333333333,0.775333333333333,0.897666666666667,0.00966666666666667,0.00566666666666667,0.392,0.95,0.004,155000
0.132333333333333,0.244666666666667,0.785666666666667,0.908,0.009,0.00533333333333333,0.344,0.954666666666667,0.00333333333333333,160000
0.113333333333333,0.212333333333333,0.792666666666667,0.914,0.00833333333333333,0.005,0.299,0.96,0.00266666666666667,165000
0.101666666666667,0.178666666666667,0.799333333333333,0.918666666666667,0.007,0.005,0.269666666666667,0.963333333333333,0.00266666666666667,170000
0.0876666666666667,0.157666666666667,0.804,0.921333333333333,0.00666666666666667,0.00433333333333333,0.239,0.965333333333333,0.00266666666666667,175000
0.08,0.135333333333333,0.808,0.924333333333333,0.006,0.004,0.209333333333333,0.967,0.002,180000
0.0743333333333333,0.118333333333333,0.811,0.926333333333333,0.00566666666666667,0.004,0.181666666666667,0.968333333333333,0.002,185000
0.0666666666666667,0.105,0.805666666666667,0.931333333333333,0.00566666666666667,0.004,0.16,0.968666666666667,0.002,190000
0.0556666666666667,0.0923333333333333,0.798666666666667,0.927666666666667,0.00566666666666667,0.004,0.138666666666667,0.968333333333333,0.002,195000
0.0486666666666667,0.0836666666666667,0.787333333333333,0.925,0.00533333333333333,0.00333333333333333,0.121333333333333,0.969333333333333,0.002,200000
0.0453333333333333,0.08,0.775,0.922,0.005,0.00266666666666667,0.11,0.969333333333333,0.00166666666666667,205000
0.041,0.073,0.764333333333333,0.917,0.005,0.00266666666666667,0.096,0.967333333333333,0.00166666666666667,210000
0.0373333333333333,0.0653333333333333,0.745,0.913,0.00466666666666667,0.00266666666666667,0.089,0.967,0.00166666666666667,215000
0.0343333333333333,0.0566666666666667,0.728333333333333,0.905666666666667,0.004,0.00233333333333333,0.084,0.964333333333333,0.00166666666666667,220000
0.0313333333333333,0.0513333333333333,0.712,0.893333333333333,0.004,0.002,0.0783333333333333,0.959,0.00166666666666667,225000
0.028,0.0473333333333333,0.682666666666667,0.882666666666667,0.004,0.002,0.072,0.955,0.00133333333333333,230000
0.027,0.0443333333333333,0.668333333333333,0.871,0.004,0.002,0.0623333333333333,0.949,0.00133333333333333,235000
0.025,0.0403333333333333,0.647666666666667,0.854666666666667,0.004,0.002,0.0563333333333333,0.943,0.00133333333333333,240000
0.023,0.0363333333333333,0.630333333333333,0.837333333333333,0.00366666666666667,0.002,0.051,0.936333333333333,0.001,245000
0.0213333333333333,0.034,0.605,0.826,0.00333333333333333,0.002,0.0476666666666667,0.932333333333333,0.001,250000
0.02,0.032,0.584333333333333,0.807,0.00266666666666667,0.00166666666666667,0.0456666666666667,0.921666666666667,0.001,255000
0.0186666666666667,0.03,0.564666666666667,0.790666666666667,0.00266666666666667,0.00166666666666667,0.0413333333333333,0.911,0.001,260000
0.0166666666666667,0.028,0.547666666666667,0.774,0.00266666666666667,0.00166666666666667,0.0386666666666667,0.900333333333333,0.000666666666666667,265000
0.0156666666666667,0.0263333333333333,0.523,0.753333333333333,0.00266666666666667,0.00166666666666667,0.0353333333333333,0.889333333333333,0.000666666666666667,270000
0.0133333333333333,0.0246666666666667,0.506666666666667,0.729666666666667,0.00233333333333333,0.00166666666666667,0.034,0.874,0.000666666666666667,275000
0.0123333333333333,0.0226666666666667,0.486,0.714333333333333,0.002,0.00133333333333333,0.0316666666666667,0.860666666666667,0.000666666666666667,280000
0.0113333333333333,0.0213333333333333,0.465,0.695,0.002,0.00133333333333333,0.031,0.846,0.000666666666666667,285000
0.011,0.0203333333333333,0.442666666666667,0.676,0.002,0.00133333333333333,0.0283333333333333,0.830333333333333,0.000666666666666667,290000
0.0103333333333333,0.0183333333333333,0.425333333333333,0.654333333333333,0.002,0.00133333333333333,0.0263333333333333,0.814333333333333,0.000666666666666667,295000
0.00966666666666667,0.017,0.408,0.633333333333333,0.002,0.001,0.0246666666666667,0.800666666666667,0.000666666666666667,300000
0.009,0.0153333333333333,0.391333333333333,0.612666666666667,0.002,0.001,0.0233333333333333,0.785666666666667,0.000666666666666667,305000
0.009,0.014,0.377,0.595333333333333,0.002,0.001,0.022,0.768333333333333,0.000666666666666667,310000
0.00866666666666667,0.0126666666666667,0.365,0.577666666666667,0.00166666666666667,0.001,0.0206666666666667,0.743333333333333,0.000666666666666667,315000
0.00866666666666667,0.0123333333333333,0.348666666666667,0.557333333333333,0.00166666666666667,0.001,0.0193333333333333,0.729666666666667,0.000666666666666667,320000
0.008,0.012,0.333333333333333,0.539333333333333,0.00166666666666667,0.000666666666666667,0.017,0.716,0.000666666666666667,325000
0.00766666666666667,0.0113333333333333,0.321333333333333,0.52,0.00166666666666667,0.000666666666666667,0.0156666666666667,0.697666666666667,0.000666666666666667,330000
0.007,0.011,0.306333333333333,0.500666666666667,0.00166666666666667,0.000666666666666667,0.0146666666666667,0.680666666666667,0.000666666666666667,335000
0.00633333333333333,0.0106666666666667,0.292666666666667,0.484,0.00166666666666667,0.000666666666666667,0.013,0.66,0.000666666666666667,340000
0.006,0.0103333333333333,0.280666666666667,0.465666666666667,0.00166666666666667,0.000666666666666667,0.013,0.641,0.000333333333333333,345000
0.00566666666666667,0.01,0.270666666666667,0.449,0.00133333333333333,0.000666666666666667,0.0126666666666667,0.624,0.000333333333333333,350000
0.00566666666666667,0.00966666666666667,0.259333333333333,0.435666666666667,0.00133333333333333,0.000666666666666667,0.012,0.606,0.000333333333333333,355000
